Audience segment report
"April 18, 2023 - October 8, 2023"
Segment status,Audience segment,Type,Campaign,Ad group,Status,Status reasons,Level,Bid adj.,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Enabled,Cycling Enthusiasts,Affinity segment,Search_Campaign_US, --,Eligible,,Campaign, --,308,0,0.00%,AUD,0,0.00,0.00%,0.00,0.00
Enabled,Apparel & Accessories,In-market segment,Search_Campaign_US, --,Eligible,,Campaign, --,"3,431",38,1.11%,AUD,5.66,215.19,186.84%,71.00,3.03
Enabled,Yoga Apparel,In-market segment,Search_Campaign_US, --,Eligible,,Campaign, --,"12,376",35,0.28%,AUD,0.93,32.42,31.43%,11.00,2.95
Enabled,All Converters,Website visitors,Search_Campaign_US, --,Eligible,,Campaign, --,41,0,0.00%,AUD,0,0.00,0.00%,0.00,0.00
Enabled,Swimming Enthusiasts,Affinity segment,Search_Campaign_US, --,Eligible,,Campaign, --,36,0,0.00%,AUD,0,0.00,0.00%,0.00,0.00
Enabled,Running Apparel,In-market segment,Search_Campaign_US, --,Eligible,,Campaign, --,"4,748",26,0.55%,AUD,1.38,35.97,26.92%,7.00,5.14
Enabled,Health & Fitness Buffs,Affinity segment,Search_Campaign_US, --,Eligible,,Campaign, +10%,"6,096",327,5.36%,AUD,4.66,1524.58,335.05%,"1,095.62",1.39
Enabled,All Users,Website visitors,Search_Campaign_US, --,Eligible,,Campaign, --,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Enabled,Outerwear,In-market segment,Search_Campaign_US, --,Eligible,,Campaign, --,"1,841",7,0.38%,AUD,2.00,13.99,57.14%,4.00,3.50
Enabled,Activewear,In-market segment,Search_Campaign_US, --,Eligible,,Campaign, --,"3,291",15,0.46%,AUD,2.59,38.83,140.00%,21.00,1.85
Enabled,All visitors (AdWords),Website visitors,Search_Campaign_US, --,Eligible,,Campaign, --,40,3,7.50%,AUD,2.33,6.99,100.00%,3.00,2.33
Enabled,Camping & Hiking Equipment,In-market segment,Search_Campaign_US, --,Eligible,,Campaign, --,"3,269",11,0.34%,AUD,1.37,15.10,18.18%,2.00,7.55
Enabled,All Users of Fractel - GA4,Website visitors,Custom Cap Design Search US2, --,Eligible,,Campaign, --,9,2,22.22%,AUD,3.69,7.38,0.00%,0.00,0.00
Enabled,Cycling Enthusiasts,Affinity segment,Custom Cap Design Search US2, --,Eligible,,Campaign, --,468,20,4.27%,AUD,1.83,36.56,0.00%,0.00,0.00
Enabled,Shoppers,Affinity segment,Custom Cap Design Search US2, --,Eligible,,Campaign, --,"1,520",116,7.63%,AUD,2.13,247.15,0.00%,0.00,0.00
Enabled,Sports & Fitness,In-market segment,Custom Cap Design Search US2, --,Eligible,,Campaign, --,839,43,5.13%,AUD,2.02,86.96,0.00%,0.00,0.00
Enabled,Sporting Goods,In-market segment,Custom Cap Design Search US2, --,Eligible,,Campaign, --,"2,833",76,2.68%,AUD,1.06,80.36,0.00%,0.00,0.00
Enabled,General visitors (Retail) (AdWords),Website visitors,Custom Cap Design Search US2, --,Eligible,,Campaign, --,281,28,9.96%,AUD,1.19,33.44,0.00%,0.00,0.00
Enabled,Product viewers (Retail) (AdWords),Website visitors,Custom Cap Design Search US2, --,Eligible,,Campaign, --,61,7,11.48%,AUD,4.30,30.10,21.43%,1.50,20.07
Enabled,Women's Apparel,In-market segment,Custom Cap Design Search US2, --,Eligible,,Campaign, --,"2,378",33,1.39%,AUD,0.53,17.40,0.00%,0.00,0.00
Enabled,AdWords optimized list,Custom combination segment,Custom Cap Design Search US2, --,Eligible,,Campaign, --,197,14,7.11%,AUD,3.50,49.02,0.00%,0.00,0.00
Enabled,Sports & Fitness,Affinity segment,Custom Cap Design Search US2, --,Eligible,,Campaign, --,906,48,5.30%,AUD,2.04,98.07,1.82%,0.88,111.98
Enabled,Activewear,In-market segment,Custom Cap Design Search US2, --,Eligible,,Campaign, --,"3,333",84,2.52%,AUD,0.89,75.04,0.00%,0.00,0.00
Enabled,Outdoor Enthusiasts,Affinity segment,Custom Cap Design Search US2, --,Eligible,,Campaign, --,801,37,4.62%,AUD,3.25,120.11,8.06%,2.98,40.28
Enabled,Similar to All Users,Similar segment,Custom Cap Design Search US2, --,Eligible,,Campaign, --,2,0,0.00%,AUD,0,0.00,0.00%,0.00,0.00
Enabled,Men's Apparel,In-market segment,Custom Cap Design Search US2, --,Eligible,,Campaign, --,"2,159",28,1.30%,AUD,0.62,17.29,0.00%,0.00,0.00
Enabled,All Converters,Website visitors,Custom Cap Design Search US2, --,Eligible,,Campaign, --,187,18,9.63%,AUD,4.13,74.27,0.00%,0.00,0.00
Enabled,All visitors (AdWords),Website visitors,Custom Cap Design Search US2, --,Eligible,,Campaign, --,362,22,6.08%,AUD,2.08,45.67,2.27%,0.50,91.33
Enabled,Health & Fitness Buffs,Affinity segment,Custom Cap Design Search US2, --,Eligible,,Campaign, --,531,40,7.53%,AUD,2.36,94.56,0.00%,0.00,0.00
Enabled,Travel,Affinity segment,Custom Cap Design Search US2, --,Eligible,,Campaign, --,719,46,6.40%,AUD,2.98,137.06,0.00%,0.00,0.00
Enabled,Outerwear,In-market segment,Custom Cap Design Search US2, --,Eligible,,Campaign, --,"2,414",32,1.33%,AUD,0.50,15.91,0.00%,0.00,0.00
Enabled,Running Apparel,In-market segment,Custom Cap Design Search US2, --,Eligible,,Campaign, --,"5,167",75,1.45%,AUD,0.66,49.43,0.00%,0.00,0.00
Enabled,Travel Buffs,Affinity segment,Custom Cap Design Search US2, --,Eligible,,Campaign, --,754,53,7.03%,AUD,2.66,140.97,0.00%,0.00,0.00
